Learning Rate,0.1,0.01,0.001,0.0001
Number of hidden layers,2,3,4
Number of units per hidden layer,30,50,70,90,110
Number of iterations,500,1000,5000


Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6
0.0001,3.0,50.0,5000.0,9.636830775768715,11.081371895360903,11.113203230990615,1.499132659034555,4.69280582353028,3.084913387367696
0.0001,3.0,70.0,500.0,13.069833180806093,51.09603536722421,64.54828541217513,9.709385930912791,5.497799909853908,6.573983185490557
0.0001,3.0,70.0,1000.0,12.082648698376278,25.81279434214945,31.902564528052057,9.517782510590054,11.428243739557239,4.881520360929279
0.0001,3.0,70.0,5000.0,3.7385889432496247,5.828678626918118,5.634616605007195,1.9023762310682844,4.230044390690206,3.201021104235388
0.0001,3.0,90.0,500.0,18.140820395735535,30.53062324299175,53.84742453789699,4.830619089503365,6.201264654481938,2.1668357714288455
0.0001,3.0,90.0,1000.0,9.96082391836288,22.849305306875415,28.26806991275056,10.769675862065657,11.458880179891338,4.09949653996538
0.0001,3.0,90.0,5000.0,2.9072562709548118,5.920753982280552,7.021858239815039,2.1209470763582594,4.914559433912262,2.3519307044436997
0.0001,3.0,110.0,500.0,23.20022851868538,37.212070547554305,50.73129505472171,8.324317373925702,12.51158858544969,1.8951093654390225
0.0001,3.0,110.0,1000.0,17.011942164278377,19.745362775614158,25.86579460106579,9.594912743904692,8.327646563566269,2.6985927633111038
0.0001,3.0,110.0,5000.0,2.850117373241927,4.706705272017091,4.552434991707273,3.328661826915649,3.953786415527792,2.09665464559667
0.0001,4.0,30.0,500.0,77.80569471737834,95.63053571996541,98.2604675314429,17.615951352809528,48.95982566770371,24.456433126569944
0.0001,4.0,30.0,1000.0,15.695039378600416,30.34365197436053,38.055669541250104,12.170523258296562,16.25640250339512,2.6292940924635038
0.0001,4.0,30.0,5000.0,13.085370384705413,15.452036412802453,16.8316743590931,3.3227508759674262,8.075960299482935,3.20632881142203
0.0001,4.0,50.0,500.0,14.046296623490647,72.28818145943553,84.16695824135867,23.1340273238709,33.441519796148064,9.476913851523186
0.0001,4.0,50.0,1000.0,10.182053772934099,24.594056132874513,29.38460802928096,9.60327059824869,13.193001754253347,4.89595758402253
0.0001,4.0,50.0,5000.0,4.885546442261711,5.992210973616296,6.076137870235541,3.0509910678430354,6.830648952096459,2.381531878264556
0.0001,4.0,70.0,500.0,19.373649023358823,39.032496342062174,64.79280616629019,12.56298839187116,8.044509678577551,7.69567440640245
0.0001,4.0,70.0,1000.0,22.02099307538082,21.414867289321258,27.759497188019367,10.683084268954026,13.221752741509595,6.491682764440776
0.0001,4.0,70.0,5000.0,2.324242070005806,3.081035143037007,3.657214929996347,0.43532768756517654,2.8394402028990795,1.6137246666477632
0.0001,4.0,90.0,500.0,18.067904408552437,31.662224216521455,40.14907935291,8.75858035462827,8.36338328480681,2.6980501368007723
0.0001,4.0,90.0,1000.0,18.99922656070788,16.304573616089833,22.34047434056953,7.7800492931087994,8.264809712603082,1.589424711373956
0.0001,4.0,90.0,5000.0,1.444655492489229,3.1774313530644935,2.676569915323279,1.779359362308188,3.441438435612646,2.1038765014630907
0.0001,4.0,110.0,500.0,19.80355955127005,33.69807547932981,40.893141520064624,10.551987821138079,12.646507089564235,4.466130631498413
0.0001,4.0,110.0,1000.0,17.471144997784002,14.945759128298436,21.357771151599973,6.201403179151232,8.212677369436719,3.5384173857647423
0.0001,4.0,110.0,5000.0,1.293555261931516,2.618849436990065,2.085166394816145,0.9979527574922024,2.342705859762259,1.4847045569910517

0.01,4.0,50.0,5000.0,0.11778388407666569
0.01,2.0,90.0,5000.0,0.1649973896650924
0.01,2.0,90.0,5000.0,0.1167370733790591
0.01,4.0,90.0,5000.0,0.16513829371330102
0.01,4.0,50.0,5000.0,0.19054524420568816
0.01,3.0,50.0,5000.0,0.19563312006962952

Total Time taken by GPU(in seconds),1247.6025848388672
